"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 08, 2018",1156.96,1159.55,1165.05,1154.11,"1.21B","-0.18%"
"Feb 07, 2018",1159.01,1170.19,1172.46,1156.18,"1.63B","-0.23%"
"Feb 06, 2018",1161.67,1151.47,1164.18,1140.37,"3.03B","-1.17%"
"Feb 05, 2018",1175.46,1168.66,1179.18,1167.74,"2.70B","-1.07%"
"Feb 02, 2018",1188.12,1195.82,1198.35,1184.14,"1.53B","-0.31%"
"Feb 01, 2018",1191.83,1191.58,1194.61,1188.21,"1.31B","0.48%"
"Jan 31, 2018",1186.16,1181.83,1192.44,1180.36,"1.38B","-0.00%"
"Jan 30, 2018",1186.17,1192.89,1193.78,1182.60,"1.51B","-0.78%"
"Jan 29, 2018",1195.46,1194.95,1197.76,1190.74,"1.23B","0.51%"
"Jan 26, 2018",1189.45,1182.41,1189.85,1173.81,"2.01B","0.67%"
"Jan 25, 2018",1181.56,1198.88,1202.06,1181.56,"2.09B","-1.17%"
"Jan 24, 2018",1195.60,1191.27,1197.75,1189.01,"1.45B","0.24%"
"Jan 23, 2018",1192.74,1190.69,1195.60,1186.67,"1.83B","0.59%"
"Jan 22, 2018",1185.78,1182.14,1189.08,1178.78,"1.17B","0.18%"
"Jan 19, 2018",1183.60,1178.63,1183.60,1170.95,"2.00B","0.08%"
"Jan 18, 2018",1182.70,1194.53,1195.75,1182.65,"1.83B","-0.60%"
"Jan 17, 2018",1189.89,1184.66,1190.65,1181.69,"1.70B","0.24%"
"Jan 16, 2018",1187.02,1194.16,1195.19,1184.83,"1.52B","-0.12%"
"Jan 15, 2018",1188.44,1182.69,1191.78,1182.16,"2.02B","1.07%"
"Jan 12, 2018",1175.81,1176.10,1181.54,1174.80,"1.56B","0.45%"
"Jan 11, 2018",1170.56,1164.05,1171.70,1157.07,"1.55B","0.50%"
"Jan 10, 2018",1164.68,1170.56,1175.28,1162.75,"2.25B","-0.10%"
"Jan 09, 2018",1165.86,1164.60,1167.95,1156.48,"1.50B","0.18%"
"Jan 08, 2018",1163.72,1168.99,1179.54,1163.72,"1.56B","-0.30%"
"Jan 05, 2018",1167.18,1169.49,1173.90,1163.09,"1.83B","-0.01%"
"Jan 04, 2018",1167.29,1162.74,1167.80,1156.97,"2.11B","0.95%"
"Jan 03, 2018",1156.28,1139.70,1157.16,1138.20,"2.06B","1.86%"
